0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:27:51 +0530] "GET /TweetApplication/Registration.jsp HTTP/1.1" 200 3409
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:28:48 +0530] "POST /TweetApplication/User HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:28:48 +0530] "GET /TweetApplication/Login.jsp HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:28:59 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:29:23 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:33:32 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:34:46 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:36:28 +0530] "GET /TweetApplication/Login.jsp HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:36:37 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:39:02 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:39:31 +0530] "GET /TweetApplication/Login.jsp HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:40:06 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:41:13 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:41:58 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:42:19 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:42:53 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:44:45 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:45:30 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:46:04 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:50:16 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:52:29 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:53:40 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:54:31 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
